item,value,as_of,source
output_2025_mn_heads,78.0,2025-12-31,GS (10.8% national share)
sow_inventory_mn,3.13,2026-03-31,HSBC Exhibit 5
price_a_rmb,36.98,2026-07-02,Macquarie
price_h_hkd,29.06,2026-06-26,GS
replacement_value_h_hkd,34.5,2026-06-26,GS (Rmb1500/head EV)
hist_low_ev_head_value_h_hkd,54.5,2026-06-26,GS (Rmb2500/head EV)
mid_cycle_value_h_hkd,61.9,2026-06-26,GS (Rmb3/kg unit NP)
gs_low_case_h_hkd,24.5,2026-06-26,GS (Rmb1/kg unit NP)
cash_cost_large_producers_rmb_kg,11.6-12.9,2026-06-30,GS
cash_cost_marginal_rmb_kg,13.3-13.7,2026-06-30,GS
ni_sensitivity,Rmb0.1/kg hog price ~= Rmb0.9bn NI,2026-03-20,Bryan March memo
